strain	userOrOld	date	country	location	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	mouse_escape	ferret_escape	cell_entry	stability	sa26_increase	mouse_escape_mutations	ferret_escape_mutations	cell_entry_mutations	stability_mutations	sa26_increase_mutations	mutdiffsel	mutdiffsel_mutations	accession
A/chicken/SD/24-037531-001-original/2024_H5N1|2024-12-11	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-11	USA	SD	Gallus gallus	PRJNA980729	SAMN46069824	SRR31885789	Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Tiger/ID/24-035868-001-original/2024_H5N1|2024-11-19	INSDC (GenBank/ENA/DDBJ) and SRA	2024-11-19	USA	ID	Panthera tigris	PRJNA980729	SAMN46133622	SRR31914380	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.46	356M [0.46258]	
A/chicken/OR/24-030904-001-original/2024_H5N1|2024-10-21	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-21	USA	OR	Gallus gallus	PRJNA980729	SAMN44493027	SRR31167892	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/OR/24-030904-002-original/2024	uploaded sample																						
A/chicken/OR/24-030904-001-original/2024	uploaded sample																						
A/chicken/OR/24-030904-002-original/2024_H5N1|2024-10-21	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-21	USA	OR	Gallus gallus	PRJNA980729	SAMN44493028	SRR31167891	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Green-winged-teal/USA/25-002656-001/2025|SRR32513200|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Green-winged-teal	PRJNA1207547	SAMN47131055	SRR32513200	USDA-NVSL		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	1.12	456D [1.11763]	
A/Red-tailed-hawk/USA/25-003487-001/2025|SRR32416412|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Red-tailed-hawk	PRJNA1207547	SAMN46923650	SRR32416412	USDA-NVSL		0.10	0.03	0.21	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 130V [-0.4293], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	1.12	456D [1.11763]	
A/American-crow/USA/25-002028-001/2025|SRR32416478|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	American-crow	PRJNA1207547	SAMN46923519	SRR32416478	USDA-NVSL		0.68	0.20	0.90	-0.21	1.89	158F [0.5776], 491D [0.1033]	158F [0.1669], 341R [0.03437]	3S [-0.0204], 52A [-0.9735], 120L [0.2686], 158F [0.2783], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 158F [0.02233], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	3S [0.5189], 226V [1.101], 491D [0.2725]			
A/Chicken/USA/24-033428-001/2024|SRR31596926|2024	INSDC (GenBank/ENA/DDBJ) and SRA	2024	USA	USA	Chicken	PRJNA980729	SAMN45148607	SRR31596926	USDA-NVSL		0.16	0.17	0.63	-0.16	1.79	339K [0.05564], 491D [0.1033]	339K [0.1348], 341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 273I [0.3838], 339K [-0.3939], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 339K [0.07302], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 273I [0.4129], 491D [0.2725]	0.31	400A [0.30583]	
A/Duck/USA/25-004661-001/2025|SRR32512878|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Duck	PRJNA980729	SAMN47130973	SRR32512878	USDA-NVSL		0.10	0.03	0.72	-0.23	1.45	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 185Q [0.08065], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 185Q [0.00386], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	185Q [0.08085], 226V [1.101], 491D [0.2725]	0.61	740N [0.61329]	
A/chicken/WA/24-032809-002-original/2024_H5N1|2024-11-05	INSDC (GenBank/ENA/DDBJ) and SRA	2024-11-05	USA	WA	Gallus gallus	PRJNA980729	SAMN45128756	SRR31597125	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.05	0.94	-0.18	1.37	491D [0.1033]	2K [0.01902], 341R [0.03437]	2K [0.2994], 52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	2K [0.05172], 120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/WA/24-032809-001-original/2024_H5N1|2024-11-05	INSDC (GenBank/ENA/DDBJ) and SRA	2024-11-05	USA	WA	Gallus gallus	PRJNA980729	SAMN45128755	SRR31597126	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.05	0.94	-0.18	1.37	491D [0.1033]	2K [0.01902], 341R [0.03437]	2K [0.2994], 52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	2K [0.05172], 120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Bald-eagle/USA/25-001791-001/2025|SRR32254417|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Bald-eagle	PRJNA1207547	SAMN46706145	SRR32254417	USDA-NVSL		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Great-horned-owl/USA/25-002820-001/2025|SRR32513271|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Great-horned-owl	PRJNA1207547	SAMN47131032	SRR32513271	USDA-NVSL		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.24	191K [0.23774]	
A/chicken/CO/24-036613-001-original/2024_H5N1|2024-12-04	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-04	USA	CO	Gallus gallus	PRJNA980729	SAMN45952789	SRR31820758	Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.24	191K [0.23774]	
A/chicken/MT/24-032160-002-original/2024_H5N1|2024-10-24	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-24	USA	MT	Gallus gallus	PRJNA980729	SAMN44727527	SRR31347629	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/MT/24-032160-001-original/2024_H5N1|2024-10-24	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-24	USA	MT	Gallus gallus	PRJNA980729	SAMN44727526	SRR31347630	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/MT/24-032160-004-original/2024_H5N1|2024-10-24	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-24	USA	MT	Gallus gallus	PRJNA980729	SAMN44727529	SRR31347622	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/MT/24-032160-003-original/2024_H5N1|2024-10-24	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-24	USA	MT	Gallus gallus	PRJNA980729	SAMN44727528	SRR31347623	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/WA/24-032191-001-original/2024_H5N1|2024-10-30	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-30	USA	WA	Gallus gallus	PRJNA980729	SAMN44727532	SRR31347619	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.35	453S [0.35427]	
A/chicken/WA/24-032191-003-original/2024_H5N1|2024-10-30	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-30	USA	WA	Gallus gallus	PRJNA980729	SAMN44727534	SRR31347617	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/WA/24-032191-002-original/2024_H5N1|2024-10-30	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-30	USA	WA	Gallus gallus	PRJNA980729	SAMN44727533	SRR31347618	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/WA/24-032191-004-original/2024_H5N1|2024-10-30	INSDC (GenBank/ENA/DDBJ) and SRA	2024-10-30	USA	WA	Gallus gallus	PRJNA980729	SAMN44727535	SRR31347616	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/chicken/WA/24-030039-001/2024	uploaded sample																						
A/chicken/WA/24-030039-001/2024_H5N1|2024-10-11	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/Washington/254/2024_H5N1|2024-10-23	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/Washington/254/2024-egg	uploaded sample																						
A/Washington/240/2024-egg	uploaded sample																						
A/Washington/255/2024	uploaded sample																						
A/Washington/255/2024_H5N1|2024-10-29	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/chicken/Washington/W242850087-1/2024	uploaded sample																						
A/chicken/Washington/W242850087-1/2024_H5N1|2024-10-11	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/chicken/WA/24-030039-002/2024_H5N1|2024-10-11	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/chicken/Washington/W242850087-2/2024	uploaded sample																						
A/chicken/WA/24-030039-002/2024	uploaded sample																						
A/chicken/Washington/W242850087-2/2024_H5N1|2024-10-11	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/Washington/240/2024_H5N1|2024-10-18	INSDC (GenBank/ENA/DDBJ) and SRA																						
A/Washington/UW32495/2024	uploaded sample																						
A/Washington/UW32495/2024_H5N1|2024-10-18	INSDC (GenBank/ENA/DDBJ) and SRA																						
